ID,Age,Gender,InterpenetrationFeedback,Part,Block,TrialInBlock,Trial,FullyShaded,NrOfAdjustments,InterpenetrationTime,TrialTime,FirstContactTime,MaxInterpenetration,AverageInterpenetration,AverageOffsetFromSurface,ReleaseReactionTime,Completed,Attempts,Skipped,RespTime,Precision,Sensation,Pain,ActualValue
8,24,Male,Both,Part 2,4,6.3,54.3,1.5,0,3.7988831,9.4802067,3.9522766,0.009430228,0.008000586,0.008961056,0.78342895,1,1,0,9.4565923,7.58E-04,1.1,2.3,1.8
8,24,Male,Electrotactile,Part 2,5,6.4,66.4,1.5,0.1,3.6666809,9.045935,3.5834595,0.013141406,0.009565146,0.010090149,0.65319822,1,1,0,9.0223457,0.001416588,1.1,2.3,1.8
8,24,Male,NoFeedback,Part 2,7,6.5,90.5,1.5,0,3.7300051,7.8042603,2.5480837,0.013019888,0.009153998,0.004718302,0.71511235,1,1,0,7.7806761,0.001607168,1.1,2.3,1.8
8,24,Male,Visual,Part 2,6,6.5,78.5,1.5,0,3.5855713,8.3851075,3.1976563,0.011050597,0.009483562,0.00738893,0.569457999,1,1,0,8.3615356,6.95E-04,1.1,2.3,1.8
10,25,Other,Both,Part 1,2,6.5,30.5,1.5,0,3.6155701,7.1767884,2.0360352,0.014216924,0.01086769,0.004275868,0.59956666,1,1,0,7.1529541,0.001474027,0.8,2.4,1.8
10,25,Other,Electrotactile,Part 1,3,6.5,42.5,1.5,0,3.6177673,7.0512999,1.9011109,0.018966069,0.013977514,0.005214223,0.60342408,1,1,0,7.0273011,0.002717257,0.8,2.4,1.8
10,25,Other,NoFeedback,Part 1,1,6.5,18.5,1.5,0,3.673349,7.6276917,2.4431946,0.015708604,0.011874165,0.006608744,0.65904542,1,1,0,7.6036562,0.001955074,0.8,2.4,1.8
10,25,Other,Visual,Part 1,0,6.5,6.5,1.5,0,4.0022185,12.0412412,6.564698,0.009345696,0.007636082,0.007793825,0.98797601,1,1,0,12.016995,6.80E-04,0.8,2.4,1.8
10,25,Other,Both,Part 2,6,6.4,78.4,1.5,0,3.6144593,7.4555237,2.2962523,0.011336992,0.006754882,0.005871618,0.59870606,1,1,0,7.4319152,0.001738847,1.6,2.5,2.1
10,25,Other,Electrotactile,Part 2,7,6.3,90.3,1.5,0,3.6144533,7.5233033,2.3476807,0.011668531,0.00747193,0.005619115,0.59938965,1,1,0,7.4997314,0.001620608,1.6,2.5,2.1
10,25,Other,NoFeedback,Part 2,5,6.3,66.3,1.5,0,3.5566589,6.7136414,1.66286,0.014007162,0.00989461,0.003776575,0.54159544,1,1,0,6.6901001,0.00168111,1.6,2.5,2.1
10,25,Other,Visual,Part 2,4,6.3,54.3,1.5,0,3.6200011,7.2244506,2.1554322,0.011746103,0.008744031,0.004772168,0.60443725,1,1,0,7.2008973,0.001235405,1.6,2.5,2.1
11,24,Female,Both,Part 1,1,6.5,18.5,1.5,0,3.643335,7.1945526,2.1899354,0.012716092,0.009124987,0.003062738,0.62789613,1,1,0,7.1693178,0.001568493,0.8,1.2,1
