ID,Age,Gender,InterpenetrationFeedback,Part,Block,TrialInBlock,Trial,FullyShaded,NrOfAdjustments,InterpenetrationTime,TrialTime,FirstContactTime,MaxInterpenetration,AverageInterpenetration,AverageOffsetFromSurface,ReleaseReactionTime,Completed,Attempts,Skipped,RespTime,Precision,Sensation,Pain,ActualValue
5,28,Male,Electrotactile,Part 1,2,6.5,30.5,1.5,0.1,3.9388916,8.1984955,2.6143798,-3.9724548239573294,-4.201623850881353,0.00782141,0.92539676,1,1,0,8.1746673,-6.170012433162368,0.5877866649021191,1.0647107369924282,0.9162907318741551
5,28,Male,Both,Part 2,7,6.5,90.5,1.5,0,3.6177979,7.5965698,2.4128786,-4.699522624572991,-5.051478538842296,0.005933712,0.60196534,1,1,0,7.5729615,-6.973895081486682,0.6931471805599453,1.5686159179138452,1.308332819650179
5,28,Male,Electrotactile,Part 2,6,6.3,78.3,1.5,0,3.5866638,7.3156188,2.2040953,-4.455631238154258,-4.661030313554738,0.003170968,0.57092285,1,1,0,7.2900878,-6.865753820303279,0.6931471805599453,1.5686159179138452,1.308332819650179
6,25,Female,Both,Part 1,2,6.5,30.5,1.5,0,3.5299989,6.725879,1.8291138,-4.763428088920364,-5.178012180854412,0.006958012,0.51567993,1,1,0,6.7019104,-6.879913483934734,0,0.5877866649021191,0.4054651081081644
6,25,Female,Electrotactile,Part 1,3,6.4,42.4,1.5,0,3.4977722,6.5637694,1.7165771,-4.590758337374486,-5.10817480701808,0.006876975,0.48198243,1,1,0,6.5399903,-6.378832009987955,0,0.5877866649021191,0.4054651081081644
6,25,Female,Both,Part 2,6,6.5,78.5,1.5,0,3.4888855,6.929132,2.099768,-4.99818299676327,-5.433073737723946,0.008054271,0.47426147,1,1,0,6.9056275,-6.935126475778269,0.4054651081081644,1.0986122886681098,0.8754687373538999
6,25,Female,Electrotactile,Part 2,7,6.4,90.4,1.5,0,3.5088989,6.6236817,1.7822508,-4.657562821271576,-5.180903821367075,0.007334073,0.49340819,1,1,0,6.6000244,-6.515584821067534,0.4054651081081644,1.0986122886681098,0.8754687373538999
7,33,Male,Both,Part 1,1,6.5,18.5,1.5,0,3.6800049,8.1385559,3.0253905,-4.296350275090227,-4.491629558856629,0.006087999,0.66487734,1,1,0,8.1148773,-6.85814735403212,0.3364722366212129,0.8754687373538999,0.6931471805599453
7,33,Male,Electrotactile,Part 1,0,6.3,6.3,1.5,0,3.6155548,8.0219638,3.0076264,-3.8091424623618413,-4.026218714491642,0.008545876,0.60039977,1,1,0,7.9979005,-6.040071768012553,0.3364722366212129,0.8754687373538999,0.6931471805599453
7,33,Male,Both,Part 2,5,6.3,66.3,1.5,0.1,3.5444516,7.6831971,2.6059264,-4.81357993974743,-5.132683104741091,0.008658661,0.52835693,1,1,0,7.6596252,-7.002065958453378,0.5877866649021191,1.2237754316221157,0.9932517730102834
7,33,Male,Electrotactile,Part 2,4,6.5,54.5,1.5,0.1,3.4022156,7.386676,2.27991329,-4.652512873257851,-4.840464256796349,0.0096096,0.38673706,1,1,0,7.3631288,-7.089277155605528,0.5877866649021191,1.2237754316221157,0.9932517730102834
8,24,Male,Both,Part 1,0,6.5,6.5,1.5,0.2,3.501114,9.7445131,4.3798368,-4.4994723272368455,-4.677759911262107,0.007671188,0.48865052,1,1,0,9.7204069,-6.89688359053105,-0.5108256237659907,0.26236426446749106,0
8,24,Male,Electrotactile,Part 1,1,6.5,18.5,1.5,0,3.622223,8.215167,3.0362792,-4.0712663642932,-4.401769774139497,0.005434553,0.60790405,1,1,0,8.1909482,-6.324342052524283,-0.5108256237659907,0.26236426446749106,0
8,24,Male,Both,Part 2,4,6.3,54.3,1.5,0,3.7988831,9.4802067,3.9522766,-4.663835004474232,-4.828240489984951,0.008961056,0.78342895,1,1,0,9.4565923,-7.184827172321903,0.09531017980432493,0.8329091229351039,0.5877866649021191
8,24,Male,Electrotactile,Part 2,5,6.4,66.4,1.5,0.1,3.6666809,9.045935,3.5834595,-4.331987270127857,-4.649629412223142,0.010090149,0.65319822,1,1,0,9.0223457,-6.559504115667501,0.09531017980432493,0.8329091229351039,0.5877866649021191
10,25,Other,Both,Part 1,2,6.5,30.5,1.5,0,3.6155701,7.1767884,2.0360352,-4.253322193055744,-4.5219611119323275,0.004275868,0.59956666,1,1,0,7.1529541,-6.519757167879363,-0.2231435513142097,0.8754687373538999,0.5877866649021191
10,25,Other,Electrotactile,Part 1,3,6.5,42.5,1.5,0,3.6177673,7.0512999,1.9011109,-3.965103738438007,-4.270305383454246,0.005214223,0.60342408,1,1,0,7.0273011,-5.9081323633903375,-0.2231435513142097,0.8754687373538999,0.5877866649021191
