ID,Age,Gender,InterpenetrationFeedback,Part,Block,TrialInBlock,Trial,FullyShaded,NrOfAdjustments,InterpenetrationTime,TrialTime,FirstContactTime,MaxInterpenetration,AverageInterpenetration,AverageOffsetFromSurface,ReleaseReactionTime,Completed,Attempts,Skipped,RespTime,Precision
18,31,Male,NoFeedback,Part 1,1,6.2,18.2,1.5,0,3.4955596,7.3632629,2.4349365,0.0087421524,0.0061394785,0.0057791685,0.4802185,1,1,0,7.3390809,0.0010756929
7,33,Male,NoFeedback,Part 1,2,6.2,30.2,1.5,0,3.7155578,7.7720704,2.5842897,0.0177885671,0.014154582,0.0068129332,0.69983518,1,1,0,7.7464905,0.0016794681
10,25,Other,NoFeedback,Part 1,1,6.5,18.5,1.5,0,3.673349,7.6276917,2.4431946,0.015708603800000002,0.0118741648,0.0066087441,0.65904542,1,1,0,7.6036562000000005,0.0019550742
11,24,Female,Visual,Part 1,3,6.4,42.4,1.5,0,3.5622192999999998,7.5188415,2.5139953,0.0082798313,0.005909619,0.0063199224,0.5467223999999999,1,1,0,7.4927003,8.708488e-4
13,24,Female,Visual,Part 1,1,6.4,18.4,1.5,0,3.7288819,7.7976716,2.6907775,0.018376328,0.0145677564,0.0068193417,0.71323243,1,1,0,7.7731413,0.0016091725
21,24,Female,Visual,Part 1,1,6.5,18.5,1.5,0,3.73667,10.567609299999999,4.9438112,0.023288441,0.019215469,0.0100191691,0.72208251,1,1,0,10.5426448,0.0025295749
6,25,Female,Visual,Part 1,0,6.4,6.4,1.5,0,3.5655577000000003,7.4044159,2.411078,0.0080304088,0.0058890582,0.007303011,0.55018922,1,1,0,7.3803254,8.601276e-4
23,26,Female,Visual,Part 1,3,6.5,42.5,1.5,0,3.656665,8.0617798,2.8948425,0.0075361317,0.0056008686,0.0067884733,0.64234618,1,1,0,8.0377258,6.666005e-4
12,27,Female,Visual,Part 1,2,6.4,30.4,1.5,0,3.5711121,7.0945682,2.2050966,0.0111078891,0.0081721365,0.0047994421,0.55634154,1,1,0,7.0705751,0.0013491149
3,23,Male,Visual,Part 1,3,6.5,42.5,1.5,0,3.4366577,6.5305543,1.737738,0.0069829636,0.0047919551,0.008945256,0.42089845,1,1,0,6.5048888,7.478402e-4
19,23,Male,Visual,Part 1,3,6.4,42.4,1.5,0.1,3.5622252,7.9874755,2.8479676,0.009750274100000001,0.0060879095000000005,0.009132012699999999,0.69844356,1,1,0,7.9627258,0.0013381212
1,24,Male,Visual,Part 1,1,6.5,18.5,1.5,0,3.8588868,7.6556275000000005,2.4395814,0.0134098603,0.009313771,0.0050681605,0.84326172,1,1,0,7.6258545,0.0017172056
8,24,Male,Visual,Part 1,2,6.5,30.5,1.5,0.1,3.5566589,7.9986146,2.8300049,0.012293501,0.0093339966,0.0053787862,0.61483154,1,1,0,7.9747742,0.001316803
14,24,Male,Visual,Part 1,0,6.5,6.5,1.5,0.1,4.0499998999999995,8.8837857,3.1799866,0.0151783282,0.0090593646,0.0098951702,1.13272094,1,1,0,8.8594113,0.002171044
15,24,Male,Visual,Part 1,3,6.2,42.2,1.5,0,3.5933288,8.2141051,3.2484435,0.0057832355,0.0042104709,0.0085476794,0.576886,1,1,0,8.190259,5.014105e-4
24,24,Male,Visual,Part 1,2,6.5,30.5,1.5,0,3.6555543,7.0458495,2.0426392,0.0082466127,0.0059308063,0.0056861867,0.64019163,1,1,0,7.0214661,8.893374e-4
2,25,Male,Visual,Part 1,0,6.5,6.5,1.5,0,3.8622223,7.9153532,2.602423,0.0168032618,0.0137994691,0.0061897774,0.84607853,1,1,0,7.889166299999999,0.0016645197
4,25,Male,Visual,Part 1,2,6.5,30.5,1.5,0,3.7221801,6.8880128,1.6630249,0.030656958,0.023298724,0.0142577452,0.70624999,1,1,0,6.8642518,0.0044794538
22,25,Male,Visual,Part 1,0,6.4,6.4,1.5,0,3.8055601,10.3453729,4.8622008999999995,0.0092344631,0.0070762438,0.0065959312,0.78955383,1,1,0,10.3212185,7.375195e-4
5,28,Male,Visual,Part 1,1,6.5,18.5,1.5,0,3.8577759,8.4428802,2.9396759,0.0148555452,0.0113466678,0.0055068367,0.84323118,1,1,0,8.4190155,0.0013829935999999999
16,31,Male,Visual,Part 1,2,6.5,30.5,1.5,0.1,3.6322387000000003,10.4630673,5.1345032,0.0097554076,0.0086591981,0.0096351121,0.61713867,1,1,0,10.4393194,5.284923e-4
18,31,Male,Visual,Part 1,0,6.5,6.5,1.5,0,3.5077791,7.8353515,2.8316773,0.0063273407,0.0045587174000000005,0.0070790064,0.49224243,1,1,0,7.8112545,6.953101e-4
7,33,Male,Visual,Part 1,3,6.4,42.4,1.5,0,3.622223,7.4877746,2.4148621,0.016965991,0.013546635100000001,0.0052422556,0.60625611,1,1,0,7.4637389999999995,0.0017372136
10,25,Other,Visual,Part 1,0,6.5,6.5,1.5,0,4.0022185,12.0412412,6.564698,0.009345696,0.0076360824,0.0077938254,0.98797601,1,1,0,12.016995,6.804629000000001e-4
11,24,Female,Both,Part 2,5,6.5,66.5,1.5,0,3.5966614999999997,8.0585694,3.1136596,0.0064370389,0.0047580604,0.0090119336,0.58242189,1,1,0,8.0348876,5.334312e-4
13,24,Female,Both,Part 2,7,6.4,90.4,1.5,0,3.7455689,7.2811034,2.1389650000000002,0.012935319,0.0103579235,0.0029932401,0.73029786,1,1,0,7.2573243000000005,0.0011783145
21,24,Female,Both,Part 2,7,6.4,90.4,1.5,0.2,3.35333256,8.4372802,3.0657836,0.012555908,0.0083387463,0.009041958899999999,0.47517088,1,1,0,8.4131713,0.0019299696
6,25,Female,Both,Part 2,6,6.5,78.5,1.5,0,3.4888855,6.929132,2.099768,0.0067502013,0.0043696436000000005,0.0080542709,0.47426147,1,1,0,6.9056275,9.727214e-4
23,26,Female,Both,Part 2,5,6.4,66.4,1.5,0,3.6089049,7.7821349,2.7271668,0.006424851,0.004647618,0.009200174,0.59550169,1,1,0,7.7582093,6.079977e-4
12,27,Female,Both,Part 2,4,6.3,54.3,1.5,0,3.6033325,6.5748597,1.6143676,0.0100376428,0.0067977185,0.006883886,0.58865966,1,1,0,6.5512878,0.0011499737
3,23,Male,Both,Part 2,5,6.4,66.4,1.5,0.2,3.2633303,6.9092894,2.0219603999999998,0.0048627746000000005,0.0033178734,0.0146285696,0.24838258,1,1,0,6.8807374,6.612177e-4
19,23,Male,Both,Part 2,5,6.4,66.4,1.5,0.1,3.7511353,8.8481994,3.4292175,0.0077806117,0.0035629559,0.0158446199,0.91032713,1,1,0,8.8245606,0.0010835469
1,24,Male,Both,Part 2,7,6.3,90.3,1.5,0.5,3.4810913,7.5359009,2.3707275,0.012580847,0.0089327221,0.0093187931,0.51298828,1,1,0,7.5108887,0.0017037245
